distribution,sample_size,arg1,arg2,ID
normal,1000,92.57741638,44.79402202,1513
binomial,1000,196,0.15110588,1514
poisson,1000,9,,1515
weibull,100000,0.213082059,,1516
binomial,10000,970,0.605532651,1517
uniform,1000,0,34.01702387,1518
uniform,10000,0,31.09404005,1519
binomial,10000,811,0.659771835,1520
normal,10000,87.28010166,41.26115448,1521
weibull,10000,0.328430239,,1522
poisson,10000,49,,1523
poisson,100000,8,,1524
weibull,100000,0.633381075,,1525
weibull,1000,0.926608536,,1526
uniform,100000,0,28.71586597,1527
uniform,10000,0,46.92578164,1528
binomial,10000,782,0.023256831,1529
uniform,100000,0,3.153519951,1530
normal,10000,56.8944322,24.04629096,1531
binomial,1000,5,0.362750682,1532
binomial,100000,713,0.899524943,1533
poisson,1000,33,,1534
uniform,10000,0,12.47064051,1535
normal,100000,34.22137218,2.404255836,1536
binomial,1000,109,0.176892922,1537
binomial,10000,909,0.741780234,1538
weibull,1000,0.766814447,,1539
binomial,1000,28,0.941562579,1540
weibull,10000,0.955550639,,1541
uniform,100000,0,34.78121242,1542
poisson,1000,53,,1543
poisson,100000,4,,1544
poisson,1000,27,,1545
weibull,1000,0.368271426,,1546
binomial,100000,277,0.426277421,1547
uniform,10000,0,14.73926794,1548
uniform,1000,0,9.334325944,1549
poisson,10000,97,,1550
binomial,10000,671,0.47053963,1551
weibull,10000,0.657932986,,1552
binomial,100000,962,0.650550382,1553
binomial,1000,515,0.599576544,1554
normal,10000,93.39757633,17.50258067,1555
binomial,100000,390,0.898408857,1556
poisson,100000,33,,1557
uniform,10000,0,7.073183407,1558
poisson,100000,99,,1559
weibull,100000,0.421448015,,1560
poisson,100000,75,,1561
binomial,1000,891,0.498852483,1562
binomial,1000,536,0.027048426,1563
weibull,100000,0.207362916,,1564
uniform,1000,0,22.04397894,1565
weibull,100000,0.408868681,,1566
uniform,10000,0,20.63941502,1567
poisson,10000,58,,1568
uniform,100000,0,30.06060368,1569
poisson,100000,63,,1570
binomial,10000,612,0.099452225,1571
normal,10000,70.73831447,24.2041229,1572
binomial,10000,559,0.867060357,1573
weibull,10000,0.190198343,,1574
normal,1000,92.44412204,19.08413269,1575
weibull,10000,0.885975173,,1576
poisson,10000,19,,1577
uniform,1000,0,5.397918997,1578
poisson,1000,74,,1579
uniform,10000,0,29.63777433,1580
weibull,10000,0.282982454,,1581
binomial,10000,965,0.79005858,1582
poisson,1000,29,,1583
weibull,1000,0.267173187,,1584
weibull,10000,0.362235528,,1585
normal,1000,48.46731093,6.043302056,1586
binomial,1000,883,0.838968365,1587
poisson,10000,11,,1588
weibull,10000,0.346571588,,1589
binomial,100000,204,0.944750866,1590
normal,1000,48.8584218,16.90233039,1591
normal,1000,29.88596741,48.76567658,1592
uniform,10000,0,7.726407856,1593
poisson,10000,13,,1594
normal,1000,54.13440317,35.54882874,1595
binomial,1000,401,0.130411084,1596
uniform,100000,0,3.20955474,1597
normal,10000,14.39001583,19.81069687,1598
uniform,100000,0,23.97166997,1599
normal,100000,1.456024404,29.07443731,1600
uniform,10000,0,19.24301226,1601
weibull,1000,0.852147829,,1602
uniform,1000,0,24.42905005,1603
uniform,1000,0,42.23505852,1604
binomial,100000,345,0.571818849,1605
normal,1000,36.64053302,23.41423026,1606
weibull,1000,0.771826928,,1607
uniform,100000,0,46.72152256,1608
normal,100000,10.24232918,27.72115051,1609
binomial,1000,903,0.95170995,1610
uniform,10000,0,36.2772449,1611
uniform,100000,0,5.975007684,1612
poisson,10000,71,,1613
poisson,100000,45,,1614
poisson,1000,68,,1615
binomial,100000,635,0.084102473,1616
weibull,1000,0.749837311,,1617
weibull,1000,0.409876751,,1618
normal,100000,68.87383617,2.789481542,1619
weibull,1000,0.99314624,,1620
normal,1000,89.40875814,9.782570523,1621
binomial,1000,941,0.780972938,1622
weibull,100000,0.825787344,,1623
poisson,10000,68,,1624
binomial,10000,859,0.442708334,1625
weibull,10000,0.213949012,,1626
normal,10000,40.00035362,47.91597865,1627
poisson,10000,47,,1628
weibull,1000,0.514314938,,1629
poisson,10000,62,,1630
poisson,1000,57,,1631
uniform,100000,0,22.78101194,1632
normal,1000,32.66249722,28.98881736,1633
uniform,100000,0,28.0612599,1634
uniform,100000,0,5.690354213,1635
normal,1000,83.48260011,0.661862917,1636
uniform,10000,0,31.01600267,1637
uniform,1000,0,31.00838649,1638
weibull,1000,0.273923573,,1639
uniform,100000,0,20.04165577,1640
weibull,10000,0.145929426,,1641
poisson,10000,66,,1642
binomial,10000,588,0.734015342,1643
uniform,100000,0,28.19183549,1644
poisson,1000,60,,1645
weibull,10000,0.348427963,,1646
normal,100000,4.936431277,4.236297751,1647
poisson,100000,76,,1648
normal,10000,76.14226838,24.88623789,1649
uniform,10000,0,8.551796292,1650
normal,100000,34.18063887,32.32528437,1651
binomial,10000,609,0.194354345,1652
binomial,10000,823,0.881126843,1653
normal,10000,97.32411119,11.15260787,1654
uniform,10000,0,42.53754616,1655
weibull,10000,0.086868879,,1656
weibull,100000,0.850772472,,1657
uniform,10000,0,48.17586493,1658
normal,100000,62.22945265,39.15866012,1659
normal,10000,46.68536931,0.599739284,1660
poisson,1000,77,,1661
uniform,100000,0,7.777735959,1662
uniform,100000,0,20.56809278,1663
uniform,10000,0,5.210361208,1664
uniform,1000,0,18.97923879,1665
normal,10000,20.51537473,1.282136008,1666
weibull,10000,0.26909074,,1667
binomial,10000,777,0.153369684,1668
normal,100000,51.00914989,49.22072081,1669
normal,10000,41.17802211,23.79808479,1670
weibull,100000,0.401035252,,1671
weibull,100000,0.769136629,,1672
binomial,100000,708,0.214835295,1673
uniform,10000,0,18.42522481,1674
normal,10000,63.35621737,47.78629357,1675
uniform,10000,0,34.69425988,1676
poisson,1000,38,,1677
poisson,1000,47,,1678
poisson,1000,12,,1679
normal,10000,71.90964864,16.04765991,1680
uniform,100000,0,29.75559362,1681
poisson,10000,22,,1682
normal,100000,72.71297011,5.082024146,1683
uniform,10000,0,23.46547824,1684
uniform,1000,0,20.6829187,1685
weibull,1000,0.896787929,,1686
binomial,1000,575,0.89317849,1687
poisson,1000,20,,1688
poisson,10000,61,,1689
uniform,10000,0,6.944981811,1690
poisson,1000,75,,1691
normal,10000,3.213929663,49.83260147,1692
normal,10000,22.12904364,28.67271685,1693
weibull,100000,0.822422896,,1694
poisson,1000,57,,1695
poisson,100000,96,,1696
poisson,100000,14,,1697
normal,10000,93.78411038,47.18520237,1698
binomial,10000,876,0.475521192,1699
binomial,1000,827,0.659961901,1700
uniform,100000,0,3.471926206,1701
normal,10000,47.13168345,43.09405518,1702
poisson,10000,29,,1703
normal,1000,78.12678675,0.754747632,1704
poisson,100000,35,,1705
poisson,1000,60,,1706
weibull,100000,0.577680203,,1707
uniform,100000,0,31.57746468,1708
binomial,10000,433,0.662566939,1709
poisson,10000,43,,1710
normal,10000,17.3746561,19.77753948,1711
weibull,1000,0.634319891,,1712
binomial,1000,262,0.604802536,1713
normal,100000,87.57121889,7.271607028,1714
binomial,1000,493,0.841944739,1715
uniform,10000,0,16.59777421,1716
weibull,1000,0.250247182,,1717
normal,10000,79.23630472,7.449499453,1718
binomial,100000,260,0.368159975,1719
poisson,1000,54,,1720
normal,10000,44.31955241,15.55683352,1721
binomial,100000,729,0.779888083,1722
normal,10000,35.69819301,33.77531137,1723
binomial,100000,756,0.959900398,1724
poisson,1000,27,,1725
binomial,100000,769,0.229968699,1726
weibull,100000,0.512264175,,1727
binomial,10000,948,0.345910122,1728
poisson,10000,43,,1729
normal,10000,26.88620338,33.373273,1730
normal,100000,42.99716952,28.83048503,1731
binomial,10000,920,0.895417608,1732
poisson,10000,23,,1733
uniform,1000,0,7.133892646,1734
normal,1000,22.81704581,16.96451204,1735
binomial,10000,453,0.945143855,1736
poisson,10000,4,,1737
poisson,100000,44,,1738
binomial,1000,869,0.650519034,1739
poisson,100000,38,,1740
poisson,1000,74,,1741
weibull,1000,0.577065874,,1742
binomial,1000,269,0.781267803,1743
poisson,1000,5,,1744
normal,1000,98.67014687,23.02249478,1745
normal,1000,67.52677333,29.02748548,1746
weibull,1000,0.457095589,,1747
poisson,1000,99,,1748
weibull,1000,0.532321516,,1749
weibull,10000,0.360051728,,1750
uniform,100000,0,48.72737937,1751
poisson,1000,51,,1752
poisson,10000,16,,1753
poisson,10000,69,,1754
normal,1000,87.9678455,12.2185614,1755
binomial,10000,977,0.465746099,1756
normal,100000,1.816212768,1.442924634,1757
binomial,100000,731,0.436981837,1758
poisson,100000,16,,1759
normal,1000,29.87816702,25.00222769,1760
poisson,1000,11,,1761
weibull,1000,0.182512554,,1762
normal,100000,35.37222788,3.597485254,1763
uniform,1000,0,3.901865583,1764
binomial,1000,920,0.124020094,1765
normal,10000,80.82243997,19.62428094,1766
binomial,10000,523,0.622494498,1767
uniform,10000,0,16.28357693,1768
binomial,10000,259,0.204716966,1769
normal,100000,83.89390258,1.499632232,1770
normal,1000,54.27093177,36.31471248,1771
weibull,1000,0.706644005,,1772
normal,1000,94.5596057,28.72518891,1773
normal,100000,74.66088936,27.34289255,1774
poisson,100000,52,,1775
uniform,10000,0,22.99536165,1776
weibull,100000,0.826273536,,1777
poisson,100000,34,,1778
weibull,100000,0.000905212,,1779
uniform,100000,0,47.37753933,1780
weibull,1000,0.323755731,,1781
weibull,10000,0.231619322,,1782
weibull,1000,0.17662718,,1783
binomial,1000,424,0.044864017,1784
normal,10000,1.003068974,6.792603962,1785
normal,100000,36.93511429,23.90252573,1786
binomial,1000,322,0.57772656,1787
weibull,10000,0.863591343,,1788
binomial,100000,557,0.924925863,1789
weibull,10000,0.790942351,,1790
weibull,100000,0.430070006,,1791
uniform,100000,0,44.11998396,1792
poisson,1000,40,,1793
binomial,1000,207,0.3851614,1794
uniform,100000,0,44.12597271,1795
binomial,1000,325,0.226196839,1796
normal,1000,66.34614466,10.0932793,1797
binomial,1000,560,0.89261743,1798
binomial,1000,291,0.27063949,1799
uniform,1000,0,31.15617612,1800
normal,100000,81.83131564,33.03304512,1801
uniform,1000,0,15.55754371,1802
uniform,1000,0,2.748641267,1803
normal,1000,57.51862867,31.78519104,1804
binomial,1000,154,0.118018159,1805
weibull,10000,0.353415079,,1806
weibull,100000,0.766828527,,1807
binomial,1000,259,0.048062764,1808
normal,10000,56.45678061,26.51853502,1809
normal,10000,13.05270351,1.97476177,1810
poisson,1000,78,,1811
poisson,100000,48,,1812
uniform,100000,0,14.61647274,1813
poisson,10000,61,,1814
poisson,10000,80,,1815
binomial,10000,501,0.949849993,1816
poisson,100000,76,,1817
normal,1000,17.7954498,3.402234025,1818
uniform,1000,0,22.76661624,1819
poisson,1000,7,,1820
uniform,1000,0,16.25973652,1821
uniform,10000,0,10.65732239,1822
uniform,10000,0,23.18515841,1823
poisson,1000,9,,1824
weibull,100000,0.504986345,,1825
uniform,1000,0,46.95113218,1826
uniform,100000,0,19.0754195,1827
weibull,1000,0.020806936,,1828
normal,100000,70.5555183,31.18726402,1829
binomial,10000,10,0.726533583,1830
uniform,100000,0,10.15365678,1831
uniform,1000,0,35.90988891,1832
normal,1000,20.77474511,0.225114579,1833
binomial,10000,903,0.809876187,1834
binomial,10000,640,0.810268253,1835
uniform,100000,0,30.43196695,1836
uniform,10000,0,4.937128314,1837
weibull,100000,0.895579628,,1838
binomial,10000,898,0.395621215,1839
uniform,100000,0,34.37685389,1840
normal,1000,44.46735249,24.15605537,1841
uniform,10000,0,5.689821683,1842
weibull,1000,0.796989291,,1843
normal,1000,44.36203517,36.42570335,1844
normal,10000,46.26823341,13.24316315,1845
weibull,10000,0.117820059,,1846
binomial,1000,395,0.564910113,1847
weibull,1000,0.882235801,,1848
binomial,10000,23,0.819825444,1849
weibull,10000,0.939644679,,1850
binomial,1000,551,0.796199222,1851
uniform,10000,0,28.5788507,1852
normal,1000,51.24059675,10.6190541,1853
normal,100000,25.37927913,5.848253281,1854
uniform,100000,0,29.29505234,1855
normal,1000,53.01085352,39.67583626,1856
uniform,1000,0,32.4590894,1857
normal,1000,84.19982211,40.82205231,1858
poisson,10000,69,,1859
binomial,10000,965,0.285715702,1860
weibull,10000,0.643033606,,1861
binomial,100000,458,0.819768681,1862
weibull,1000,0.84885814,,1863
binomial,100000,998,0.908153376,1864
poisson,1000,79,,1865
binomial,10000,946,0.462016312,1866
weibull,100000,0.802952018,,1867
weibull,100000,0.477919605,,1868
normal,1000,19.17260156,25.05732574,1869
poisson,1000,78,,1870
poisson,100000,68,,1871
normal,100000,85.28137903,20.27853975,1872
normal,1000,76.60796325,40.30610296,1873
uniform,100000,0,2.39094985,1874
uniform,10000,0,26.85294512,1875
normal,100000,62.90391983,10.70419669,1876
weibull,100000,0.7250067,,1877
binomial,10000,831,0.126003127,1878
binomial,10000,499,0.945708508,1879
binomial,10000,299,0.72518411,1880
poisson,10000,3,,1881
normal,1000,7.49145764,2.84024757,1882
poisson,10000,63,,1883
binomial,1000,317,0.499787419,1884
weibull,10000,0.037952616,,1885
uniform,10000,0,26.18696665,1886
normal,1000,17.79832216,11.20138667,1887
binomial,10000,282,0.417324924,1888
poisson,100000,89,,1889
poisson,1000,73,,1890
normal,10000,35.28808804,5.627679274,1891
poisson,10000,79,,1892
weibull,1000,0.156616651,,1893
weibull,10000,0.420793908,,1894
uniform,100000,0,25.76163741,1895
uniform,10000,0,2.402064097,1896
poisson,1000,5,,1897
poisson,10000,9,,1898
weibull,100000,0.921906136,,1899
poisson,100000,20,,1900
uniform,100000,0,7.071848823,1901
binomial,1000,821,0.988753728,1902
uniform,10000,0,24.56812081,1903
weibull,10000,0.966389318,,1904
normal,1000,94.01775599,37.18398678,1905
weibull,10000,0.088041363,,1906
weibull,10000,0.001884541,,1907
weibull,1000,0.897068106,,1908
weibull,1000,0.879775917,,1909
binomial,1000,980,0.3244202,1910
binomial,100000,46,0.934904732,1911
weibull,1000,0.039253581,,1912
uniform,100000,0,12.53237518,1913
poisson,10000,26,,1914
binomial,1000,494,0.20988428,1915
normal,100000,52.57047778,22.09028256,1916
uniform,100000,0,11.40918006,1917
uniform,100000,0,10.38355213,1918
poisson,100000,68,,1919
binomial,10000,703,0.471202597,1920
normal,1000,94.73250352,0.757258856,1921
normal,10000,18.56667792,31.32140628,1922
normal,10000,28.4105412,46.37265321,1923
weibull,1000,0.597242818,,1924
uniform,10000,0,44.25071064,1925
weibull,10000,0.736903717,,1926
binomial,10000,545,0.822942662,1927
poisson,10000,1,,1928
binomial,10000,628,0.299500777,1929
poisson,100000,77,,1930
poisson,100000,8,,1931
binomial,1000,667,0.327253192,1932
normal,10000,72.04256631,14.87485012,1933
normal,10000,80.68880232,22.65725631,1934
uniform,1000,0,36.44912664,1935
normal,1000,36.42996027,47.04216249,1936
uniform,1000,0,36.93055628,1937
binomial,1000,77,0.179651473,1938
uniform,100000,0,31.79579698,1939
poisson,100000,30,,1940
uniform,10000,0,26.28941975,1941
uniform,10000,0,6.317851275,1942
normal,100000,14.91788103,33.77779559,1943
uniform,100000,0,3.883903564,1944
uniform,100000,0,35.77779665,1945
binomial,10000,140,0.05043794,1946
binomial,100000,169,0.817611288,1947
binomial,10000,259,0.249384768,1948
binomial,10000,78,0.300963074,1949
normal,10000,32.20401799,9.785091121,1950
weibull,100000,0.156778302,,1951
poisson,100000,56,,1952
poisson,1000,87,,1953
poisson,10000,62,,1954
weibull,1000,0.481917976,,1955
normal,100000,44.53740589,17.65562529,1956
normal,100000,29.13041709,15.7024477,1957
weibull,100000,0.459919196,,1958
poisson,1000,69,,1959
poisson,10000,71,,1960
normal,100000,64.560746,4.022687895,1961
weibull,10000,0.162891351,,1962
poisson,1000,6,,1963
weibull,10000,0.052146192,,1964
binomial,1000,438,0.217349506,1965
normal,100000,68.29256429,23.48816907,1966
weibull,100000,0.63416754,,1967
weibull,10000,0.870825228,,1968
normal,10000,33.45612754,41.120408,1969
uniform,100000,0,33.11193518,1970
binomial,100000,767,0.425839939,1971
normal,10000,33.10570414,37.60217474,1972
poisson,100000,6,,1973
binomial,1000,766,0.671636946,1974
poisson,10000,76,,1975
poisson,10000,91,,1976
poisson,1000,51,,1977
binomial,10000,778,0.410441946,1978
binomial,10000,693,0.207933952,1979
binomial,100000,698,0.041209421,1980
weibull,100000,0.480452821,,1981
normal,100000,63.01044329,14.23012081,1982
weibull,10000,0.391587658,,1983
uniform,10000,0,32.59763814,1984
weibull,1000,0.78957763,,1985
poisson,1000,77,,1986
poisson,10000,30,,1987
weibull,10000,0.254960849,,1988
weibull,100000,0.88236882,,1989
binomial,1000,893,0.200885749,1990
normal,100000,59.68230622,43.07010476,1991
uniform,1000,0,42.00948265,1992
uniform,100000,0,44.9381405,1993
binomial,1000,552,0.463847658,1994
normal,100000,39.8289031,26.07725014,1995
poisson,10000,56,,1996
poisson,100000,36,,1997
weibull,100000,0.185129393,,1998
binomial,100000,266,0.084912706,1999
binomial,100000,884,0.813855824,2000
weibull,100000,0.189259155,,2001
uniform,100000,0,15.82726073,2002
binomial,100000,837,0.734744886,2003
weibull,100000,0.992954258,,2004
weibull,1000,0.029080991,,2005
weibull,10000,0.815841708,,2006
poisson,1000,90,,2007
poisson,1000,64,,2008
binomial,100000,944,0.656489357,2009
uniform,10000,0,43.36846995,2010
uniform,10000,0,36.90234316,2011
poisson,100000,77,,2012
normal,10000,64.232549,34.09751288,2013
normal,100000,32.95317571,18.51235379,2014
uniform,10000,0,20.4117206,2015
uniform,10000,0,46.90012022,2016
uniform,10000,0,33.87864572,2017
weibull,1000,0.574389949,,2018
normal,10000,59.85583904,32.97652715,2019
poisson,1000,78,,2020
binomial,100000,809,0.081391889,2021
normal,1000,3.176674828,12.59102374,2022
normal,10000,64.4575439,16.73206425,2023
poisson,10000,15,,2024
binomial,100000,949,0.391985277,2025
weibull,100000,0.590432854,,2026
weibull,10000,0.010722265,,2027
normal,100000,1.258754292,18.1449493,2028
uniform,1000,0,16.02793587,2029
normal,1000,4.772760591,47.18566271,2030
poisson,10000,14,,2031
normal,10000,7.981865411,28.7633264,2032
normal,100000,39.87432672,15.71144551,2033
weibull,100000,0.080256544,,2034
weibull,1000,0.459801107,,2035
poisson,10000,39,,2036
normal,10000,87.11329171,22.83189797,2037
weibull,1000,0.125014199,,2038
poisson,1000,75,,2039
binomial,100000,636,0.617539463,2040
uniform,10000,0,17.65221287,2041
binomial,10000,141,0.229607821,2042
normal,1000,25.23101327,14.31781406,2043
poisson,100000,73,,2044
binomial,1000,668,0.821252585,2045
normal,100000,36.31713953,11.22849431,2046
weibull,10000,0.425728197,,2047
uniform,10000,0,36.32875214,2048
poisson,10000,64,,2049
binomial,10000,61,0.251324048,2050
weibull,1000,0.458933752,,2051
uniform,100000,0,48.32090791,2052
weibull,10000,0.779225059,,2053
poisson,100000,75,,2054
normal,10000,30.35756104,10.67503269,2055
weibull,10000,0.015260538,,2056
normal,100000,2.333485391,12.13781096,2057
weibull,100000,0.361382782,,2058
weibull,100000,0.839232643,,2059
binomial,100000,497,0.11622165,2060
weibull,10000,0.068450008,,2061
poisson,100000,19,,2062
weibull,100000,0.755268144,,2063
normal,1000,27.81342447,3.170097176,2064
uniform,100000,0,43.30852325,2065
binomial,10000,336,0.722789123,2066
weibull,10000,0.117761067,,2067
weibull,100000,0.041237716,,2068
poisson,1000,73,,2069
uniform,100000,0,13.50011586,2070
poisson,10000,56,,2071
normal,10000,71.8323314,42.87232815,2072
weibull,100000,0.952181963,,2073
normal,10000,60.88565547,14.54103014,2074
poisson,10000,38,,2075
weibull,1000,0.604505984,,2076
binomial,100000,14,0.710010628,2077
binomial,1000,749,0.61631602,2078
weibull,10000,0.007422435,,2079
weibull,10000,0.829101041,,2080
weibull,10000,0.906020064,,2081
weibull,10000,0.633212243,,2082
normal,10000,47.14506788,35.5963025,2083
binomial,10000,471,0.852403085,2084
binomial,100000,40,0.367904238,2085
normal,1000,68.56460587,23.45395714,2086
weibull,100000,0.890765419,,2087
poisson,10000,85,,2088
poisson,10000,37,,2089
binomial,100000,215,0.086972853,2090
poisson,10000,98,,2091
binomial,10000,13,0.724206727,2092
normal,10000,5.240866927,26.68399984,2093
poisson,10000,94,,2094
binomial,100000,951,0.929567116,2095
weibull,100000,0.840803372,,2096
binomial,100000,650,0.501541373,2097
binomial,1000,753,0.661585132,2098
weibull,100000,0.572653074,,2099
weibull,100000,0.582635192,,2100
binomial,100000,160,0.604680689,2101
weibull,100000,0.140898955,,2102
weibull,100000,0.16146028,,2103
weibull,1000,0.785443167,,2104
binomial,1000,70,0.499919002,2105
uniform,10000,0,2.913146624,2106
uniform,1000,0,34.73260131,2107
weibull,10000,0.992803202,,2108
poisson,10000,62,,2109
uniform,1000,0,46.99285273,2110
normal,100000,51.85892211,8.483096536,2111
uniform,100000,0,36.49507517,2112
weibull,10000,0.419947903,,2113
binomial,10000,986,0.599243531,2114
weibull,1000,0.557926645,,2115
normal,10000,6.468065141,10.69909823,2116
weibull,1000,0.934616295,,2117
weibull,100000,0.638371546,,2118
normal,1000,34.51641029,40.69774365,2119
weibull,10000,0.304937018,,2120
weibull,10000,0.432384814,,2121
binomial,10000,698,0.72321062,2122
weibull,100000,0.582319235,,2123
poisson,10000,39,,2124
normal,10000,68.63279745,38.06546499,2125
poisson,1000,41,,2126
binomial,10000,299,0.162787908,2127
poisson,10000,15,,2128
poisson,10000,63,,2129
weibull,1000,0.764471497,,2130
weibull,10000,0.526027515,,2131
uniform,100000,0,41.1801984,2132
normal,10000,15.85514119,13.71786623,2133
poisson,1000,9,,2134
uniform,1000,0,3.763991137,2135
binomial,1000,880,0.792831597,2136
normal,10000,41.04367241,0.030687633,2137
uniform,1000,0,39.86627526,2138
normal,100000,26.50815302,44.42798939,2139
poisson,10000,24,,2140
binomial,10000,786,0.258654586,2141
normal,100000,66.92932282,46.3722177,2142
poisson,1000,86,,2143
poisson,100000,77,,2144
uniform,10000,0,35.3267508,2145
binomial,1000,845,0.505678094,2146
weibull,10000,0.762938865,,2147
normal,100000,38.33194278,21.85853489,2148
weibull,1000,0.863342318,,2149
weibull,1000,0.049774558,,2150
uniform,1000,0,41.13461726,2151
normal,10000,38.99255949,27.47470287,2152
normal,10000,16.77150994,22.94070336,2153
binomial,1000,432,0.482970944,2154
weibull,1000,0.808512725,,2155
normal,100000,47.92615951,27.64855467,2156
poisson,10000,85,,2157
weibull,1000,0.593604065,,2158
binomial,10000,238,0.812715179,2159
normal,100000,10.01879349,16.80732919,2160
normal,1000,93.82485868,3.457983612,2161
poisson,100000,38,,2162
poisson,100000,15,,2163
binomial,100000,259,0.059448428,2164
binomial,10000,279,0.116829514,2165
weibull,1000,0.031516982,,2166
normal,10000,17.01690278,4.601050405,2167
binomial,1000,513,0.558509369,2168
weibull,1000,0.328462028,,2169
weibull,100000,0.644981981,,2170
poisson,10000,20,,2171
uniform,10000,0,34.67359712,2172
poisson,100000,19,,2173
uniform,10000,0,45.32148979,2174
poisson,1000,72,,2175
weibull,100000,0.463706476,,2176
normal,1000,56.66404461,16.75391203,2177
binomial,1000,418,0.470996368,2178
binomial,1000,977,0.070587816,2179
poisson,1000,3,,2180
binomial,100000,728,0.409895285,2181
binomial,1000,535,0.107380357,2182
weibull,1000,0.233389187,,2183
uniform,100000,0,43.08092471,2184
poisson,1000,87,,2185
weibull,10000,0.692787947,,2186
binomial,10000,534,0.522213052,2187
poisson,1000,22,,2188
uniform,10000,0,48.59774633,2189
weibull,10000,0.493691178,,2190
binomial,10000,959,0.626205649,2191
weibull,100000,0.716938164,,2192
normal,100000,49.30809365,42.43609412,2193
normal,100000,31.13955153,41.26026538,2194
binomial,100000,399,0.732834433,2195
poisson,10000,28,,2196
uniform,10000,0,29.63698309,2197
normal,1000,25.18578664,43.8618119,2198
uniform,100000,0,2.958008233,2199
weibull,1000,0.217819247,,2200
uniform,1000,0,16.27461761,2201
uniform,10000,0,1.882665709,2202
weibull,100000,0.424046279,,2203
poisson,1000,21,,2204
normal,1000,15.82716128,25.95346689,2205
weibull,100000,0.231331269,,2206
uniform,10000,0,10.69278455,2207
weibull,10000,0.191120277,,2208
binomial,100000,769,0.095223503,2209
poisson,100000,90,,2210
binomial,1000,352,0.066566283,2211
binomial,1000,847,0.524537529,2212
normal,1000,43.54850691,43.95649724,2213
binomial,10000,421,0.666485784,2214
uniform,10000,0,45.89611393,2215
normal,1000,61.51576295,6.667283629,2216
poisson,100000,76,,2217
normal,100000,99.04294631,48.4460771,2218
weibull,1000,0.167530711,,2219
poisson,10000,23,,2220
normal,100000,34.55082643,7.827164143,2221
uniform,1000,0,23.61190768,2222
normal,10000,65.92733605,36.50381166,2223
poisson,100000,70,,2224
uniform,100000,0,5.787721977,2225
binomial,10000,230,0.319600022,2226
uniform,100000,0,25.61828227,2227
normal,100000,31.8892557,6.762802135,2228
weibull,10000,0.187000347,,2229
uniform,10000,0,11.09562239,2230
uniform,100000,0,1.999043809,2231
uniform,1000,0,10.27601738,2232
weibull,1000,0.391019257,,2233
weibull,100000,0.568547135,,2234
binomial,100000,791,0.71839718,2235
poisson,10000,95,,2236
normal,10000,49.99839383,16.29107995,2237
poisson,1000,3,,2238
poisson,100000,1,,2239
poisson,1000,65,,2240
normal,10000,73.09300776,41.40286939,2241
binomial,10000,322,0.902982078,2242
uniform,100000,0,16.18877492,2243
uniform,10000,0,1.484775069,2244
uniform,100000,0,6.280656946,2245
normal,10000,34.14706767,22.54518969,2246
normal,10000,35.08400324,6.830830853,2247
binomial,10000,221,0.12366591,2248
binomial,100000,755,0.802885796,2249
poisson,1000,33,,2250
weibull,100000,0.387839629,,2251
uniform,10000,0,25.88094268,2252
normal,10000,62.21549147,48.17798561,2253
binomial,10000,217,0.178063569,2254
normal,10000,86.47091689,39.40378762,2255
weibull,100000,0.882039534,,2256
weibull,1000,0.622157676,,2257
uniform,1000,0,49.92773632,2258
binomial,10000,123,0.490330088,2259
poisson,1000,49,,2260
weibull,10000,0.776969775,,2261
binomial,10000,580,0.50487173,2262
uniform,1000,0,15.45392258,2263
uniform,100000,0,2.977784527,2264
binomial,10000,126,0.685849861,2265
normal,1000,30.6654697,35.121242,2266
normal,100000,77.63063091,37.26737411,2267
weibull,1000,0.37009552,,2268
weibull,100000,0.752534468,,2269
binomial,1000,749,0.132796145,2270
poisson,100000,35,,2271
uniform,100000,0,49.44533286,2272
normal,1000,24.01353604,36.11033444,2273
normal,1000,60.86872993,15.25048411,2274
uniform,1000,0,47.68108838,2275
binomial,100000,304,0.469544895,2276
poisson,1000,68,,2277
poisson,10000,82,,2278
poisson,100000,51,,2279
poisson,10000,70,,2280
normal,100000,81.57747746,38.36827747,2281
poisson,1000,43,,2282
uniform,100000,0,48.19036497,2283
uniform,1000,0,21.50735851,2284
binomial,1000,777,0.59832514,2285
weibull,10000,0.829503955,,2286
poisson,100000,27,,2287
uniform,1000,0,43.69233225,2288
poisson,100000,51,,2289
poisson,100000,16,,2290
binomial,10000,870,0.280605429,2291
poisson,10000,35,,2292
weibull,1000,0.370076483,,2293
normal,1000,44.87183546,46.767925,2294
weibull,1000,0.731908031,,2295
binomial,10000,38,0.852948487,2296
binomial,100000,307,0.717361025,2297
poisson,10000,49,,2298
poisson,10000,46,,2299
uniform,10000,0,49.13625623,2300
binomial,100000,85,0.293549478,2301
uniform,1000,0,11.78346496,2302
normal,10000,19.76797304,49.5843594,2303
uniform,100000,0,18.13771857,2304
poisson,100000,76,,2305
binomial,10000,52,0.385666509,2306
uniform,100000,0,24.9541072,2307
weibull,100000,0.023255187,,2308
poisson,1000,13,,2309
binomial,1000,241,0.835658221,2310
binomial,10000,48,0.606997936,2311
poisson,100000,69,,2312
poisson,1000,94,,2313
binomial,1000,524,0.995317104,2314
uniform,10000,0,35.11452516,2315
poisson,1000,79,,2316
normal,10000,36.48757895,34.78627433,2317
